ticket_id,customer,category,priority,inter_arr_time,arr_time,description,attribute_list,sensitive_flag
26,1,6,2,3.76,27.015,"I have recently moved and would like to update my account information with my new address. My new address is 2546 Key Mountain
Cathyville, PW 02518. Please assist me with updating my account information.",residence,1
27,2,2,3,1.194,28.209,"Hi,I am Patrick Jones and my employee ID is EMP169-01-9439. 
I am having trouble with my travel claim, my expense amount was $17.31 for reimbursement. 
My other details such as email is monteserica@gmail.com and postal code is 39515 and account number is PYDV49179485686533. 
Please look into matter asap. My place of residence is 75366 Anthony Manor Suite 891
East Annmouth, NC 98855.",name ssn money mail zip_code bank_account_number address,1
28,0,6,2,0.044,28.253,"Hi, I have been logged out of my account and cannot login back. my username is marymiranda. Please resolve it.",username,0
29,4,6,3,0.363,28.616,"I have recently moved and would like to update my account information with my new address. My new address is 2480 Jimmy Loop
Georgestad, GA 01049. Please assist me with updating my account information.",residence,1
30,2,2,0,1.365,29.981,"Hi,I am Anna Smith and my employee ID is EMP411-99-3547. 
I am having trouble with my travel claim, my expense amount was $69.37 for reimbursement.
 My other details such as designation is Proofreader and email is charlesgraves@yahoo.com. 
The payment was done with given credit card number 4037551859752 and credit card type JCB 15 digit.",name ssn money job mail credit_card_number cc_provider,1
31,3,1,2,1.052,31.033,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
32,2,6,3,0.416,31.449,"Hi team, I need access to the intern portal. please enable it for me.",,0
33,1,0,0,1.076,32.525,"hi team, I am James Holmes and my employee id is 498-11-1757. I need the installation of Acrobat Reader for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
34,2,1,3,0.502,33.027,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
35,0,1,2,0.431,33.458,"Hi,I am Gregory Williams and my employee ID is EMP844-61-6770. 
I am having trouble with my hardware claim, my expense amount was $17.25 for reimbursement. 
My other details such as designation is Sub, userid alisha68 and email is jason72@gmail.com.",name ssn money job username mail,1
36,2,6,2,0.637,34.095,"Hi, I have been logged out of my account and cannot login back. my username is robert95. Please resolve it.",username,0
37,1,2,3,0.456,34.551,"Dear team, I am shifting to Steventon from Richardberg due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
38,1,5,2,0.006,34.557,"Hi,I am Cristina Keller and I work in Li and Sons. My employee ID is EMP269-62-9094. 
I am having trouble with health account, my userid is kennethstevens and amount was $7.88. 
My postal code is 33631. My country of residence is 25109 Brenda Station Suite 667
West Matthewland, MD 75977. 
Please look into matter asap.",name company ssn username money zip_code address,1
39,3,4,0,0.398,34.955,"Hi team, I want to avail the maternity benefit from 2006-01-05. My employee ID is 173-83-3958 and designation is Advice worker. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
40,1,1,2,2.897,37.852,"I made a payment of $72.89 for my account on 1982-02-06, but it has not been credited yet. The payment was made using my credit card 630492624154. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is edwardjohnson@gmail.com and phone number is 4667107059743",money date credit_card_number mail phone_number,1
41,2,7,3,0.947,38.799,"I am experiencing technical issues with Toaster. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username jacqueline59, Email sschultz@gmail.com.",product_name username mail,1
42,2,3,2,1.989,40.788,"Hi team, I am Maria Davis, employee id 088-86-3650. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
43,2,2,2,2.788,43.576,"Hi,I am Andrew Harper and my employee ID is EMP147-62-3524. 
I am having trouble with my travel claim, my expense amount was $5,205.22 for reimbursement. 
My other details such as email is lgreen@yahoo.com and postal code is 56528 and account number is DGAL20730062495896. 
Please look into matter asap. My place of residence is 0692 Jay Ports
Gregoryfort, AR 46528.",name ssn money mail zip_code bank_account_number address,1
44,1,1,3,0.222,43.798,I noticed unauthorized transactions on my credit card statement for the amount of $638.79 on 2002-06-11. The transactions are listed as Macias Ltd. I did not authorize these transactions and would like them to be reversed immediately to my credit card 3587610690274494.,money date company credit_card_number,1
45,0,3,3,2.62,46.418,"Hi, I have applied for the sick leave on 1995-10-06 with which was approved by my manager but is not reflected on the system. Please resolve the issue.",date,0
46,3,1,3,0.495,46.913,"Hi,I am Robert Barnes and my employee ID is EMP165-06-7936. 
I am having trouble with my hardware claim, my expense amount was $57,803.24 for reimbursement. 
My other details such as designation is Science writer, userid fkirk and email is oscott@gmail.com.",name ssn money job username mail,1
47,2,5,3,1.527,48.44,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Zunigaport.,city,0
48,4,1,1,0.814,49.254,"I made a payment of $54,795.14 for my account on 1984-03-20, but it has not been credited yet. The payment was made using my credit card 6557344431567227. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is hayneserin@yahoo.com and phone number is 5203333252358",money date credit_card_number mail phone_number,1
49,2,1,3,3.738,52.992,"Hi, I need a corporate credit card for my international travel with the $94,779.67. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
50,1,7,2,0.448,53.44,"I recently purchased Humidifier for the amount $34.79 on date 1986-05-03, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1980-11-28 from my home 2286 Jesse Trail
Johnmouth, IL 24454 and initiate a refund to my credit card 3527125620092455.",product_name money date date residence credit_card_number,1
51,2,2,0,0.981,54.421,"Hi,I am Susan Silva and my employee ID is EMP326-21-8461. 
I am having trouble with my travel claim, my expense amount was $90,543.06 for reimbursement.
 My other details such as designation is Insurance broker and email is kimberly89@hotmail.com. 
The payment was done with given credit card number 3530141157137709 and credit card type Diners Club / Carte Blanche.",name ssn money job mail credit_card_number cc_provider,1
52,3,5,3,0.682,55.103,"Hi,I am Andrew Harper and from 0692 Jay Ports
Gregoryfort, AR 46528. 
I am having trouble with my medical claim, my employee ID is EMP147-62-3524 and amount was $0.13. 
The payment was made through my credit card 3566856201723488. 
My other details such as designation is Counsellor email is lgreen@yahoo.com and postal code is 56528. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
53,0,6,3,1.421,56.524,"I have recently moved and would like to update my account information with my new address. My new address is 570 Perez Garden Suite 394
Smithton, MI 02849. Please assist me with updating my account information.",residence,1
54,4,2,0,1.07,57.594,"Dear team, I am shifting to Dickersonfort from East David due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
55,2,4,0,0.267,57.861,"Hi I am Raymond Curtis, currently working as Product/process development scientist. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
56,3,3,1,0.032,57.893,"Hi team, my be leave balance shown in the system is not correct as of 1996-09-11. The leave shown are less. Please resolve the issue.",date,0
57,3,4,2,0.125,58.018,"Hi team, I want to avail the maternity benefit from 1985-02-14. My employee ID is 173-83-3958 and designation is Advice worker. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
58,3,2,3,0.409,58.427,"Hi,I am Judith Day and my employee ID is EMP093-56-8393. 
I am having trouble with my travel claim, my expense amount was $662.92 for reimbursement. 
My other details such as email is daughertyalice@hotmail.com and postal code is 67197 and account number is GEXZ70775273623219. 
Please look into matter asap. My place of residence is 04201 Cohen Way
Georgefort, HI 78601.",name ssn money mail zip_code bank_account_number address,1
59,4,7,2,0.727,59.154,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
60,4,3,2,0.885,60.039,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
61,1,0,2,1.082,61.121,Hi team I want to access https://www.johnson.com/ website for research purpose kindly remove the site from the proxy. My employee id is 166-99-2016 and my profile is Social worker.,url ssn job,1
62,2,7,1,0.164,61.285,"I recently purchased Humidifier for the amount $410.95 on date 1989-06-28, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1994-10-18 from my home 622 Adams Fall Apt. 373
North Dylan, OH 74945 and initiate a refund to my credit card 4508679516877399496.",product_name money date date residence credit_card_number,1
63,2,7,1,0.264,61.549,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
64,1,0,3,0.677,62.226,Hi team I want to access http://www.hughes.com/ website for research purpose kindly remove the site from the proxy. My employee id is 711-09-4251 and my profile is Associate Professor.,url ssn job,1
65,0,7,3,2.12,64.346,"Hi team, I need the catalogue of available Heater for purchase with the price listed. Please send me the catalogue.",product_name,0
66,0,3,1,1.647,65.993,"Hi team, I want a leave from 2002-08-24 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Tina Brady MD, designation Associate Professor",date name job,1
67,0,7,3,0.172,66.165,"I am experiencing technical issues with Refrigerator. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username alexanderrobinson, Email jeffreymoss@gmail.com.",product_name username mail,1
68,0,0,3,0.884,67.049,"Hi, I want the installation of python package numpy. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
69,1,2,1,1.228,68.277,"Hi,I am Benjamin Holmes and my employee ID is EMP695-65-8886. 
I am having trouble with my travel claim, my expense amount was $73,575.30 for reimbursement. 
My other details such as email is kimmorris@hotmail.com and postal code is 54225 and account number is YQVR77732102104247. 
Please look into matter asap. My place of residence is 55570 Parker Hill
Chadberg, MA 35841.",name ssn money mail zip_code bank_account_number address,1
70,0,5,2,2.882,71.159,"Hi,I am Jacqueline Chapman and I work in Proctor, Dawson and Miller. My employee ID is EMP123-56-8874. 
I am having trouble with health account, my userid is denniscollins and amount was $491.27. 
My postal code is 08000. My country of residence is 3659 Molly Glen
Dariusfurt, AS 97787. 
Please look into matter asap.",name company ssn username money zip_code address,1
71,1,3,3,0.875,72.034,"Hi team, I am Jordan Benton, employee id 873-50-5396. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
72,1,3,2,1.748,73.782,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
73,3,3,3,0.476,74.258,"Hi team, I am Thomas Deleon, employee id 043-79-7756. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
74,2,0,0,0.322,74.58,"Hi team, I am not able to run Secureworks in my system due to internal error. Please see the attached error and resolve the issue",software,0
75,3,1,3,1.933,76.513,"I noticed unauthorized transactions on my credit card statement for the amount of $1,210.55 on 2005-05-01. The transactions are listed as Ibarra Group. I did not authorize these transactions and would like them to be reversed immediately to my credit card 2547918727443060.",money date company credit_card_number,1
76,1,7,3,1.308,77.821,"I recently purchased Refrigerator for the amount $15,722.52 on date 2020-10-13, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1974-10-03 from my home 19309 Traci Loaf Apt. 614
Port Laurenmouth, ND 58282 and initiate a refund to my credit card 3507536164802576.",product_name money date date residence credit_card_number,1
77,1,0,3,2.28,80.101,"Hi, I need to the installation of Intuit for development purpose of my project.",software,0
78,2,6,3,0.129,80.23,"I am unable to log in to my account. My credentials are, username iyoung, email carol38@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
79,2,4,3,0.457,80.687,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 653-50-4733. Please initiate the recruitment under my project. thanks",ssn,1
80,0,2,1,0.594,81.281,"Hi,I am Benjamin Holmes and my employee ID is EMP695-65-8886. 
I am having trouble with my travel claim, my expense amount was $729.71 for reimbursement.
 My other details such as designation is Engineer, biomedical and email is kimmorris@hotmail.com. 
The payment was done with given credit card number 3528034808880757 and credit card type VISA 13 digit.",name ssn money job mail credit_card_number cc_provider,1
81,4,7,3,1.195,82.476,"I recently purchased Vacuum Cleaner for the amount $9,853.02 on date 1981-04-04, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1975-04-18 from my home 100 Philip Fords
Port Nathan, MO 12182 and initiate a refund to my credit card 344785836606807.",product_name money date date residence credit_card_number,1
82,0,1,3,1.831,84.307,"Hi,I am William Franco and my employee ID is EMP321-73-9279. 
I am having trouble with my hardware claim, my expense amount was $95,948.03 for reimbursement. 
My other details such as designation is Environmental health practitioner, userid stewartchad and email is marcreynolds@hotmail.com.",name ssn money job username mail,1
83,4,2,2,1.31,85.617,"Dear team, I am shifting to New Wanda from North Jennifer due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
84,0,3,2,0.532,86.149,"Hi, I have applied for the sick leave on 1987-05-04 with which was approved by my manager but is not reflected on the system. Please resolve the issue.",date,0
85,3,0,2,1.549,87.698,"Hi, I want the installation of python package numpy. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
86,3,0,1,0.809,88.507,Hi team I want to access http://www.rodriguez-casey.com/ website for research purpose kindly remove the site from the proxy,url,0
87,1,1,2,0.924,89.431,"I made a payment of $107.27 for my account on 2002-03-12, but it has not been credited yet. The payment was made using my credit card 36218443681743. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is donald89@gmail.com and phone number is 5091662972902",money date credit_card_number mail phone_number,1
88,1,5,3,2.979,92.41,"Hi,I am Amanda Reed and I work in Macias Ltd. My employee ID is EMP260-45-4463. 
I am having trouble with health account, my userid is shellycarter and amount was $2,501.93. 
My postal code is 98238. My country of residence is USCGC Russell
FPO AP 27278. 
Please look into matter asap.",name company ssn username money zip_code address,1
89,1,3,1,0.446,92.856,"Hi team, I am Joseph Ayers, employee id 148-94-8423. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
90,1,1,2,0.217,93.073,"Hi,I am Allison Baker and my employee ID is EMP021-42-7410. 
I am having trouble with my hardware claim, my expense amount was $57.66 for reimbursement. 
My other details such as designation is Facilities manager, userid brooke79 and email is jodithompson@hotmail.com.",name ssn money job username mail,1
91,1,3,2,0.458,93.531,"Hi team, I want a leave from 2018-07-20 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Susan Silva, designation Insurance broker",date name job,1
92,4,1,3,0.487,94.018,I noticed unauthorized transactions on my credit card statement for the amount of $0.02 on 2016-08-07. The transactions are listed as Jones Group. I did not authorize these transactions and would like them to be reversed immediately to my credit card 213167538319666.,money date company credit_card_number,1
93,1,6,2,1.253,95.271,"I am unable to log in to my account. My credentials are, username kingfrederick, email jeffery84@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
94,0,1,2,0.448,95.719,"Hi,I am Emma Potter DVM and my employee ID is EMP338-18-3269. 
I am having trouble with my hardware claim, my expense amount was $4,285.56 for reimbursement. 
My other details such as designation is Psychologist, forensic, userid amber75 and email is staceythompson@yahoo.com.",name ssn money job username mail,1
95,0,1,2,1.092,96.811,"Hi,I am Chad Salazar and my employee ID is EMP704-87-3056. 
I am having trouble with my hardware claim, my expense amount was $112.03 for reimbursement. 
My other details such as designation is Call centre manager, userid rfischer and email is zallen@hotmail.com.",name ssn money job username mail,1
96,3,6,2,0.798,97.609,"Hi, I have been logged out of my account and cannot login back. my username is jasmine60. Please resolve it.",username,0
97,2,3,1,3.304,100.913,"Hi team, I am Christina Thomas, employee id 778-74-5730. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
98,2,6,2,0.095,101.008,"I have recently moved and would like to update my account information with my new address. My new address is Unit 3100 Box 4887
DPO AE 75493. Please assist me with updating my account information.",residence,1
99,1,5,2,0.068,101.076,"Hi,I am Andrew Harper and from 0692 Jay Ports
Gregoryfort, AR 46528. 
I am having trouble with my medical claim, my employee ID is EMP147-62-3524 and amount was $83,390.90. 
The payment was made through my credit card 676263224245. 
My other details such as designation is Counsellor email is lgreen@yahoo.com and postal code is 56528. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
100,4,5,1,1.575,102.651,"Hi,I am Charles Foster and my employee ID is EMP580-22-2612 from Schultz Group. 
I am having trouble with health account, my National Health Scheme number is 580-22-2612 and amount was $40.60. 
My other details such as email is ryan12@yahoo.com and postal code is 47222. 
Please look into matter. My place of residence is PSC 5734, Box 2507
APO AE 76695.",name ssn company ssn money mail zip_code address,1
101,3,5,3,0.713,103.364,"hi, what are the documents needed for new enrollment in health insurance. Please guide me.",,0
102,0,6,2,0.564,103.928,"Hi team, I need access to the intern portal. please enable it for me.",,0
103,3,1,3,0.004,103.932,"Hi,I am Dylan Macias and my employee ID is EMP502-35-3308. 
I am having trouble with my hardware claim, my expense amount was $0.87 for reimbursement. 
My other details such as designation is Tourist information centre manager, userid john29 and email is johnsonricky@hotmail.com.",name ssn money job username mail,1
104,2,5,3,2.109,106.041,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Port Richardmouth.,city,0
105,4,0,2,3.893,109.934,"Hi, I want the installation of python package numpy. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
106,1,4,3,1.277,111.211,"Hi HR team I want to refer my friend for the Engineer, chemical but I cannot access the referral site. Can you please accept this referral through this mail.",job,0
107,3,7,0,1.41,112.621,"I am experiencing technical issues with Humidifier. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username monique05, Email stanleyanderson@gmail.com.",product_name username mail,1
108,2,5,3,0.133,112.754,"Hi,I am Kellie Williamson and from 7247 Mcknight Curve
Danielsland, AL 72876. 
I am having trouble with my medical claim, my employee ID is EMP178-39-2281 and amount was $22.94. 
The payment was made through my credit card 4207164124593. 
My other details such as designation is Location manager email is karenbolton@hotmail.com and postal code is 91207. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
109,1,7,1,2.8,115.554,"I recently purchased Air Conditioner for the amount $90.02 on date 1984-04-09, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1984-07-22 from my home 338 Bradley Street Apt. 686
Henryville, KY 00902 and initiate a refund to my credit card 6530125209130716.",product_name money date date residence credit_card_number,1
110,4,7,3,1.25,116.804,"I am experiencing technical issues with Refrigerator. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username monique05, Email stanleyanderson@gmail.com.",product_name username mail,1
111,3,6,2,3.022,119.826,"I am unable to log in to my account. My credentials are, username lindseypowers, email anthony64@hotmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
112,2,4,1,0.198,120.024,"Hi team, I want to avail the maternity benefit from 2018-07-31. My employee ID is 586-45-5477 and designation is Health physicist. Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
113,1,2,3,2.087,122.111,"Dear team, I am shifting to Faithmouth from South Christophertown due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
114,4,5,2,0.011,122.122,"Hi,I am Patrick Jones and my employee ID is EMP169-01-9439 from Wheeler Inc. 
I am having trouble with health account, my National Health Scheme number is 169-01-9439 and amount was $9.66. 
My other details such as email is monteserica@gmail.com and postal code is 39515. 
Please look into matter. My place of residence is 75366 Anthony Manor Suite 891
East Annmouth, NC 98855.",name ssn company ssn money mail zip_code address,1
115,1,2,3,2.391,124.513,"Hi,I am Felicia Dodson and my employee ID is EMP562-38-0342. 
I am having trouble with my travel claim, my expense amount was $18.06 for reimbursement.
 My other details such as designation is Sports therapist and email is alexandra42@hotmail.com. 
The payment was done with given credit card number 3529714716148947 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
116,4,7,2,1.273,125.786,"I recently purchased Dryer for the amount $595.99 on date 2007-06-24, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1976-10-29 from my home 287 Rosales Courts
Meyerberg, MH 51187 and initiate a refund to my credit card 30113811800981.",product_name money date date residence credit_card_number,1
117,0,1,3,0.958,126.744,"I noticed unauthorized transactions on my credit card statement for the amount of $330.43 on 1992-09-09. The transactions are listed as Garcia, Ingram and Medina. I did not authorize these transactions and would like them to be reversed immediately to my credit card 3503207879475314.",money date company credit_card_number,1
118,4,1,2,0.72,127.464,"I noticed unauthorized transactions on my credit card statement for the amount of $4,649.35 on 2017-07-23. The transactions are listed as Kelly, Harris and Wilkerson. I did not authorize these transactions and would like them to be reversed immediately to my credit card 4937520172121183633.",money date company credit_card_number,1
119,0,2,3,0.833,128.297,"Hi,I am Charles Foster and my employee ID is EMP580-22-2612. 
I am having trouble with my travel claim, my expense amount was $2,450.84 for reimbursement.
 My other details such as designation is Sales promotion account executive and email is ryan12@yahoo.com. 
The payment was done with given credit card number 3579469246554424 and credit card type JCB 16 digit.",name ssn money job mail credit_card_number cc_provider,1
120,0,7,3,0.46,128.757,"I recently purchased Toaster for the amount $3.82 on date 2013-11-11, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1985-12-07 from my home 41524 Anderson Shoal
Kevinshire, VA 40583 and initiate a refund to my credit card 2717049941110337.",product_name money date date residence credit_card_number,1
121,4,0,3,1.652,130.409,Hi team I want to access https://www.travis.com/ website for research purpose kindly remove the site from the proxy,url,0
122,4,1,3,0.044,130.453,"Hi, my team needs a new Hair Dryer for the project kindly help us to come up with the quote for the said product.",product_name,0
123,0,7,3,2.901,133.354,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
124,0,6,2,1.63,134.984,"I am unable to log in to my account. My credentials are, username erin45, email qrice@gmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
125,3,1,3,0.383,135.367,"Hi, I need a corporate credit card for my international travel with the $5.56. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
126,1,6,3,0.027,135.394,"Hi, I have been logged out of my account and cannot login back. my username is josephcannon. Please resolve it.",username,0
127,0,6,2,4.014,139.408,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
128,2,0,3,1.723,141.131,"Hi, I want the installation of python package spacy. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
129,0,2,3,0.959,142.09,"Hi, I need $53.07 for my international business travel that is on 1991-08-27 please see the attached itinerary and approval. Thank you.",money date,0
130,4,0,2,3.449,145.539,"hi team, I am Doris Miller MD and my employee id is 499-27-8049. I need the installation of DocSend for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
131,0,0,2,0.675,146.214,"Hi, I need to the installation of Qualtrics for development purpose of my project.",software,0
132,4,1,3,0.321,146.535,"I made a payment of $1,752.57 for my account on 1987-03-26, but it has not been credited yet. The payment was made using my credit card 4233695281041. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is carol38@yahoo.com and phone number is 1821146757250",money date credit_card_number mail phone_number,1
